id,brand,name,bag_of_words
AWo0fSjPM263mwCq5zXn,pleaser,women's pleaser adore 1020lg platform ankle boot,adore platform women's boot 1020lg ankle pleaser
AWo0fTWLJbEilcB6MSQt,brinley co.,womens faux leather laser-cut lace-up boots,leather womens co. faux boots laser-cut lace-up brinley
AWo0fUPSM263mwCq5zYU,penny loves kenny,penny loves kenny womens sha almond toe ankle fashion boots,kenny almond toe womens penny sha loves boots ankle fashion
AWo0fVIWM263mwCq5zYn,call it spring,call it spring women's fibocchi ballet flat,women's ballet fibocchi flat spring call it
AWo0fVYpAGTnQPR7q_sH,easy street,"easy street women's proper dress pump, sand super suede, 9.5 n us","street women's suede, n dress us easy super 9.5 proper sand pump,"
AWo0fWfaJbEilcB6MSR-,city classified,city classified decade-s women's perforated ankle booties,booties women's classified city ankle perforated decade-s
AWo0fX9y0U_gzG0heyvG,pleaser,women's pleaser delight 2019-3 open-toe fringe boot,open-toe women's fringe boot 2019-3 delight pleaser
AWo0fZxWJbEilcB6MSTX,pleaser,women's pleaser seduce 3010,3010 pleaser seduce women's
AWo0fZxfAGTnQPR7q_uC,aerosoles,women's a2 by aerosoles my way biker boot,my women's biker by boot aerosoles way a2
AWo0f_k7M263mwCq5zpn,carlos by carlos santana,women's carlos by carlos santana amara strappy sandal,women's amara carlos strappy by sandal santana
AWo0fbxxJbEilcB6MSUN,pleaserusa,"delight-1020g, 6'' heel 1 3/4'' platform glitter lace-up ankle boot","platform 6'' pleaserusa 3/4'' glitter heel boot ankle lace-up delight-1020g, 1"
AWo0fcb50U_gzG0heywX,under armour,under armour women's speedform slingride tri running shoe,running speedform women's armour shoe under tri slingride
AWo0fcp3AGTnQPR7q_vp,pleaser,women's pleaser flamingo 1018g open toe bootie,toe women's bootie 1018g flamingo pleaser open
AWo0fcprAGTnQPR7q_vo,diba true,women's diba true stop by ankle boot,stop diba women's by boot ankle true
AWo0fd-NM263mwCq5zbm,diba true,women's diba true what to do riding boot,diba women's to riding what do boot true
AWo0fd68AGTnQPR7q_wM,brinley co.,womens faux suede mid-calf stacked wood heel boots,suede womens mid-calf wood co. faux heel boots stacked brinley
AWo0fe370U_gzG0heyxb,city classified,city classified base women's faux suede lace up bootie,suede women's base classified bootie city faux lace up
AWo0ffA5M263mwCq5zcJ,pleaser,women's pleaser delight 1018hg open toe bootie,1018hg toe women's bootie delight pleaser open
AWo0ffNDJbEilcB6MSV7,trotters,"trotters women's luxury boot, tan/cognac, 8.5 m us","women's boot, luxury 8.5 us trotters tan/cognac, m"
AWo0ffylJbEilcB6MSWO,brinley co.,womens faux leather laser-cut lace-up boots,leather womens co. faux boots laser-cut lace-up brinley
AWo0fgrMM263mwCq5zcu,pleaser,women's pleaser electra 3000z,3000z pleaser women's electra
AWo0fhXcJbEilcB6MSWw,aerosoles,women's aerosoles get smart ballet flat,women's ballet get aerosoles flat smart
AWo0fiVKM263mwCq5zdb,cape robbin,cape robbin women's shimmer elastic side block heel ankle boot,block shimmer women's elastic cape heel boot ankle robbin side
AWo0fjlV0U_gzG0heyzf,brinley co.,womens comfort side strap riding boot,womens riding strap co. boot side comfort brinley
AWo0flaXAGTnQPR7q_y0,carlos,"womens carlos by carlos santana quantum fashion boots, black","womens quantum carlos boots, black by fashion santana"
AWo0fmma0U_gzG0hey01,pleaser,"flamingo-808gf, 8'' heel 4'' glitter filled platform ankle strap sandal","4'' platform sandal 8'' flamingo-808gf, strap glitter heel ankle pleaser filled"
AWo0fnrFM263mwCq5zfb,pleaser,men's giorgio brutini genuine snake 15549 black 6 m,genuine 15549 giorgio men's 6 black snake pleaser m brutini
AWo0fsqJM263mwCq5zg-,keds,"keds women's champion lurex fashion sneaker, silver, 9 m us","women's keds champion lurex us 9 silver, fashion sneaker, m"
AWo0fsrN0U_gzG0hey2i,carlos by carlos santana,"womens carlos by carlos santana sterling cowboy boots, brown, 5.5 us / 35.5 eu","cowboy 35.5 womens eu 5.5 carlos boots, us by sterling brown, santana /"
AWo0ftLBAGTnQPR7q_2S,cape robbin,"cape robbin women's pointy toe metallic leatherette stiletto ankle bootie (black, 8.5 b(m) us)","toe b(m) women's leatherette stiletto 8.5 bootie cape metallic pointy (black, us) ankle robbin"
AWo0fv6fM263mwCq5zih,bar iii,bar iii dove women's boots,dove women's boots iii bar
AWo0fvWb0U_gzG0hey3m,trotters,women's trotters shannon ankle boot,women's shannon boot ankle trotters
AWo0fxeJ0U_gzG0hey4g,l'artiste by spring step,women's l'artiste by spring step avonora slingback,avonora women's l'artiste step by slingback spring
AWo0fyJ4AGTnQPR7q_4R,brinley co.,women's wide calf faux leather mid-calf round toe boots,toe round leather women's wide mid-calf calf co. faux boots brinley
AWo0fymo0U_gzG0hey48,bogs,bogs boots womens pull on charlie melange wp slip resistant 72034,wp womens charlie pull resistant slip bogs boots 72034 on melange
AWo0fzbWM263mwCq5zj9,carlos by carlos santana,women's carlos by carlos santana talana peep toe bootie,toe women's talana carlos bootie by peep santana
AWo0fzt70U_gzG0hey5b,breckelles,breckelles af29 women leatherette plating buckle military lace up bootie,leatherette af29 buckle bootie plating lace up breckelles military women
AWo0g06bJbEilcB6MS9C,funtasma,women's funtasma dame 05,05 dame women's funtasma
AWo0g0xhM263mwCq50Di,white mountain,women's white mountain davenport ankle boot,white women's mountain boot davenport ankle
AWo0g5QvJbEilcB6MS_2,pleaser,women's pleaser flamingo-3028 thigh high buckle boot,high women's thigh buckle boot flamingo-3028 pleaser
AWo0g7Z7JbEilcB6MTA4,trotters,"trotters women's luxury boot, tan/cognac, 8.5 m us","women's boot, luxury 8.5 us trotters tan/cognac, m"
AWo0gAunJbEilcB6MSkU,pleaser,women's pleaser adore 1017rsf ankle boot,adore women's 1017rsf boot ankle pleaser
AWo0gBpMJbEilcB6MSk3,ellie,womens strappy sandals black ankle booties metallic boots 6 inch heels cutouts,ellie womens booties sandals cutouts metallic black strappy boots 6 heels ankle inch
AWo0gBxdM263mwCq5zqW,aerosoles,women's aerosoles song bird open toe bootie,toe women's song bootie bird aerosoles open
AWo0gCm-JbEilcB6MSlP,nature breeze,nature breeze prima-12 women leatherette buckles chains motorcycle riding ankle bootie,chains riding bootie breeze nature prima-12 ankle leatherette buckles women motorcycle
AWo0gD33M263mwCq5zrT,carlos by carlos santana,women's carlos by carlos santana talana peep toe bootie,toe women's talana carlos bootie by peep santana
AWo0gF5tAGTnQPR7rAAp,pleaser,women's pleaser indulge 3063,3063 pleaser indulge women's
AWo0gOBJJbEilcB6MSpc,aerosoles,women's aerosoles stardom,aerosoles women's stardom
AWo0gOJE0U_gzG0hezFE,keds,keds women's champion wool fashion sneaker,wool women's keds champion sneaker fashion
AWo0gPHJJbEilcB6MSqA,diba true,women's diba true new kicks open toe bootie,toe diba women's new bootie kicks open true
AWo0gPf5AGTnQPR7rAEq,the highest heel,highest heel women's 6 knee high platform side rocker metal white boots,white knee high the women's platform 6 heel boots side rocker metal highest
AWo0gPlQAGTnQPR7rAEt,the highest heel,"womens hottie, 5 1 4'' heel pump shoes","4'' womens the pump 1 hottie, heel shoes 5 highest"
AWo0gR1IAGTnQPR7rAGA,ellie shoes,"420-quinley, 4'' knee high steampunk boot","4'' ellie knee high steampunk boot 420-quinley, shoes"
AWo0gXDDJbEilcB6MSuD,pleaser,women's pleaser bejeweled 1018dm-7 ankle boot,women's boot ankle 1018dm-7 pleaser bejeweled
AWo0gZ8mJbEilcB6MSvj,trotters,women's trotters shannon ankle boot,women's shannon boot ankle trotters
AWo0gblKM263mwCq5z2W,white mountain,women's white mountain theo winter bootie,white women's theo bootie winter mountain
AWo0gdZgJbEilcB6MSw8,funtasma,women's exotica 2000,exotica 2000 women's funtasma
AWo0gdtvAGTnQPR7rAL0,fabulicious,women's clearly 408 ankle-strap sandal,women's clearly fabulicious ankle-strap sandal 408
AWo0gf9OM263mwCq5z4p,brinley co.,womens faux suede mid-calf stacked wood heel boots,suede womens mid-calf wood co. faux heel boots stacked brinley
AWo0gfI9M263mwCq5z4K,trotters,women's trotters below zero waterproof ankle boot,women's ankle boot waterproof trotters below zero
AWo0gm_xM263mwCq5z7_,the highest heel,"classic, 4'' women's classic pump shoes","4'' the women's pump classic heel classic, shoes highest"
AWo0gnSgJbEilcB6MS2F,brinley co.,womens stud faux suede side slit booties,slit womens suede booties co. faux stud side brinley
AWo0goxhAGTnQPR7rARY,aerosoles,women's a2 by aerosoles my way biker boot,my women's biker by boot aerosoles way a2
AWo0gpD3JbEilcB6MS3I,ellie,ellie 609-christy women's 6 heel ankle strap buckle stiletto platform sandals,platform ellie women's stiletto sandals strap buckle 6 heel 609-christy ankle
AWo0gsJ80U_gzG0hezUm,nature breeze,alrisco nature breeze new women vickie-hi new women suede slouchy thigh high boot,suede high new breeze nature thigh boot alrisco slouchy vickie-hi women
AWo0gsdgAGTnQPR7rATP,brinley co.,brinley co. women's lined lace-up snow boot,women's snow co. brinley lined boot lace-up
AWo0gtJJM263mwCq5z_M,pleaser,women's pleaser beyond 1020,beyond 1020 pleaser women's
AWo0gtRKM263mwCq5z_U,brinley co.,womens faux leather laser-cut lace-up boots,leather womens co. faux boots laser-cut lace-up brinley
AWo0guIn0U_gzG0hezVm,nature breeze,nature breeze ff46 women's slip on patchwork chunky block heel ankle booties,block booties women's breeze nature slip heel ff46 patchwork chunky ankle on
AWo0gvYiM263mwCq50Am,indigo rd.,indigo rd. womens taylin closed toe ankle fashion boots,rd. toe womens boots closed indigo ankle fashion taylin
AWo0gx49AGTnQPR7rAWJ,blue suede shoes,blue women's loko low heel ankle high lace up side zip fashion boots,fashion suede low women's high zip up heel side boots lace loko ankle blue shoes
AWo0gxBlM263mwCq50Bq,daniel green,women's daniel green odessa,daniel odessa women's green
AWo0gytIAGTnQPR7rAWx,pleaser,women's pleaser electra 2000z,pleaser 2000z women's electra
AWo0h-rBJbEilcB6MThq,l'artiste by spring step,women's l'artiste by spring step sandee slip-on,sandee women's slip-on l'artiste step by spring
AWo0h09h0U_gzG0hez5n,pleaser,women's pleaser adore 1018rbg open toe bootie,toe adore 1018rbg women's bootie pleaser open
AWo0h1oNJbEilcB6MTdB,delicious,delicious cornelia womens pearl embellished open toe heel,toe womens embellished heel cornelia delicious pearl open
AWo0h1pMAGTnQPR7rA4L,aerosoles,womens longevity faux leather belted ankle boots,leather womens longevity belted faux boots aerosoles ankle
AWo0h2ojM263mwCq50ji,trotters,women's lillian bootie,trotters bootie women's lillian
AWo0h3BIAGTnQPR7rA4w,pleaser,women's pleaser adore 1020lg platform ankle boot,adore platform women's boot 1020lg ankle pleaser
AWo0h7FpM263mwCq50li,ellie,ellie shoes e-gogo-n 3 gogo boots neon with zipper 5 / yellow,ellie gogo neon with / boots e-gogo-n zipper shoes 5 3 yellow
AWo0h99pJbEilcB6MThU,indigo rd.,indigo rd. womens taylin closed toe ankle fashion boots,rd. toe womens boots closed indigo ankle fashion taylin
AWo0hCCAM263mwCq50JX,breckelles,breckelles ad94 women leatherette designer cut out round toe ankle bootie,toe round leatherette designer out bootie ankle cut breckelles women ad94
AWo0hCCHM263mwCq50JY,pleaser,women's pleaser pink label queen 04 pump,queen pump women's pink 04 label pleaser
AWo0hE2kM263mwCq50Kr,brinley co.,brinley co. womens comfort extra wide calf side strap riding boot,womens wide riding extra calf co. strap boot side comfort brinley
AWo0hE96M263mwCq50Ky,pleaser pink label,women's pleaser pink label queen 100 fringed open-toe boot,open-toe queen women's pink fringed 100 boot label pleaser
